date,year,month,dairy_value_usd,dairy_qty_ton,dairy_usd_per_kg,tariff_rate_on_dairy,tariff_rate_on_alfalfa,feed_qty_mt,feed_value_usd,feed_price_usd_ton,farmgate_cny_kg,FAO_dairry_price_index
1/1/10,2010,1,13051,12918.8,1.010233149,10,7,138776.2,32452000,233.8441318,2.68,108.9779536
2/1/10,2010,2,16643,13309.2,1.250488384,10,7,157258.6,39269000,249.7097138,2.73,101.5882131
3/1/10,2010,3,19908,16008,1.243628186,10,7,186136.3,43186000,232.0127777,2.74,101.6001718
4/1/10,2010,4,23031,18722,1.230157035,10,7,230471,52952000,229.7555875,2.79,109.7375142
5/1/10,2010,5,24588,19900.1,1.235571681,10,7,363856,78991000,217.0941251,2.82,111.7574269
6/1/10,2010,6,15472,13304,1.162958509,10,7,361808.4,82124000,226.9820159,2.86,110.4405512
7/1/10,2010,7,14476,10545.6,1.372705204,10,7,420520.4,90898000,216.155982,2.89,112.842359
8/1/10,2010,8,15478,13968.2,1.108088372,10,7,374172.9,73147000,195.4898391,2.93,112.2569089
9/1/10,2010,9,24154,20400.1,1.184013804,10,7,291198.6,65202000,223.9090435,2.98,116.0260131
10/1/10,2010,10,20941,19327.2,1.083498903,10,7,296922.5,65903000,221.9535401,3.02,121.385669
11/1/10,2010,11,17525,18523.4,0.946100608,10,7,231048.8,55225000,239.0187701,3.07,118.7357467
12/1/10,2010,12,31916,21634.5,1.475236312,10,7,236434.2,61001000,258.0041297,3.18,117.4390784
1/1/11,2011,1,19263,15884.8,1.212668715,10,9,161648.8,49006000,303.1634012,3.18,122.7837784
2/1/11,2011,2,21300,16124.1,1.321003963,10,9,158880.4,45802000,288.2797375,3.2,130.2617201
3/1/11,2011,3,21255,16083.2,1.32156536,10,9,121345.3,37049000,305.3187886,3.2,135.8088466
4/1/11,2011,4,22607,17028,1.327636833,10,9,100690.1,34209000,339.7454169,3.2,134.5187196
5/1/11,2011,5,30396,20581.4,1.476867463,10,9,97858.9,30395000,310.6002622,3.19,134.1712872
6/1/11,2011,6,25175,17825.1,1.412334293,10,9,127091.3,42610000,335.2707856,3.2,135.3177611
7/1/11,2011,7,31762,20097.2,1.580419163,10,9,163049.7,53455000,327.8448228,3.19,133.5680609
8/1/11,2011,8,33896,23015.3,1.472759425,10,9,205338.4,64825000,315.6983789,3.19,131.8809009
9/1/11,2011,9,36889,19143.4,1.926982668,10,9,244101.8,77638000,318.0558275,3.2,127.1188076
10/1/11,2011,10,36291,20834,1.741912259,10,9,240501.3,76746000,319.1084622,3.22,126.2054443
11/1/11,2011,11,47719,28347.8,1.683340506,10,9,230456.8,71452000,310.045093,3.23,125.0588483
12/1/11,2011,12,35416,21586.7,1.640639838,10,9,163686,53041000,324.041152,3.26,121.994248
1/1/12,2012,1,34542,17375.2,1.988005893,10,9,163618,49263000,301.0854551,3.26,120.3340219
2/1/12,2012,2,30491,16253.4,1.875976719,10,9,232893.3,68189000,292.7907329,3.28,121.242063
3/1/12,2012,3,36987,21395,1.728768404,10,9,262005.6,82372000,314.3902268,3.28,118.0670453
4/1/12,2012,4,37260,20417.3,1.824922982,10,9,332056.3,101767000,306.4751369,3.27,112.5253603
5/1/12,2012,5,41068,23486.6,1.748571526,10,9,309267.6,94999000,307.1741107,3.27,105.5211652
6/1/12,2012,6,34875,22672.8,1.538186726,10,9,341138.1,111134000,325.7742246,3.27,102.2774687
7/1/12,2012,7,28891,20443,1.413246588,10,9,325065,100009000,307.6584683,3.27,99.73376754
8/1/12,2012,8,31868,21649.5,1.471997044,10,9,241849.9,78646000,325.1851665,3.27,101.9929011
9/1/12,2012,9,36135,25459,1.419340901,10,9,251823.9,85750000,340.5157334,3.28,110.9542063
10/1/12,2012,10,34653,23690.4,1.462744403,10,9,214490.4,79002000,368.3241767,3.31,114.2221146
11/1/12,2012,11,33731,20430.8,1.650987724,10,9,159528,61606000,386.1767213,3.34,114.861453
12/1/12,2012,12,34684,20886.3,1.660610065,10,9,181322.8,71098000,392.1073356,3.4,118.149156
1/1/13,2013,1,30599,18643.3,1.641286682,15,9,152314,57802000,379.4923645,3.4,121.007555
2/1/13,2013,2,26846,17144.5,1.565866604,15,9,214444.3,80404000,374.9411852,3.42,123.7723206
3/1/13,2013,3,31644,19587.5,1.615520102,15,9,254343,92486000,363.6270705,3.42,128.0330482
4/1/13,2013,4,45692,27132.7,1.684019652,15,9,347942.4,125376000,360.3355038,3.43,140.8162204
5/1/13,2013,5,61155,34851.3,1.754740856,15,9,339679.2,119485000,351.758365,3.45,139.9765659
6/1/13,2013,6,75963,38966.8,1.949428744,15,9,408381.6,141930000,347.5425925,3.5,140.2585705
7/1/13,2013,7,71898,35198.1,2.042667076,15,9,598084.7,202785000,339.0573275,3.55,140.9898098
8/1/13,2013,8,86127,38266.2,2.250733023,15,9,716110,235722000,329.1700996,3.61,145.6496677
9/1/13,2013,9,74777,30873.7,2.422029106,15,9,600817.8,200573000,333.8333185,3.7,149.0006254
10/1/13,2013,10,68118,28305.2,2.406554273,15,9,707665.6,226035000,319.4093368,3.81,152.9606033
11/1/13,2013,11,62879,25356.7,2.47977852,15,9,755630.6,226859000,300.2247394,3.98,151.9296748
12/1/13,2013,12,71197,28136.2,2.530441211,15,9,690371.3,208303000,301.7260422,4.23,156.4882945
1/1/14,2014,1,48108,20180.9,2.383838184,15,9,457110.9,140047000,306.37423,4.23,156.1831073
2/1/14,2014,2,58549,26512.4,2.208362879,15,9,610680.7,187665000,307.3046193,4.26,156.4176218
3/1/14,2014,3,90942,40314,2.255841643,15,9,785023,239405000,304.965587,4.23,154.7919872
4/1/14,2014,4,59602,29156.9,2.044181652,15,9,622126.5,192481000,309.3920609,4.21,147.3018639
5/1/14,2014,5,69332,32267.5,2.148663516,15,9,713440.9,216699000,303.7378429,4.16,141.8010575
6/1/14,2014,6,62534,29918.3,2.090158866,15,9,728698.1,237586000,326.0417449,4.08,136.0528237
7/1/14,2014,7,60782,30202,2.012515727,15,9,734339.3,235100000,320.1517337,4,130.2120025
8/1/14,2014,8,66175,29944.4,2.209929069,15,9,602069.5,184851000,307.0260161,3.95,120.6346068
9/1/14,2014,9,49800,23744.8,2.097301304,15,9,265981.7,90774000,341.2791181,3.92,110.8497202
10/1/14,2014,10,46608,26126.8,1.783915367,15,9,104636.5,40672000,388.6980165,3.9,107.1092088
11/1/14,2014,11,40768,25008,1.630198337,15,9,93770.2,39860000,425.0817424,3.84,102.6417908
12/1/14,2014,12,42480,26281.1,1.6163707,15,9,220140.6,63474000,288.3339102,3.84,98.48250282
1/1/15,2015,1,28456,17926.6,1.587361798,15,9,251723.8,70502000,280.0768143,3.56,92.39105312
2/1/15,2015,2,31430,19388.6,1.621055672,15,9,384785.8,109102000,283.5395693,3.44,95.17096624
3/1/15,2015,3,42670,28511.5,1.496589096,15,9,635661.8,181593000,285.675496,3.42,95.13871594
4/1/15,2015,4,52248,34777.3,1.502359298,15,9,800117.2,230268000,287.7928383,3.4,90.58931101
5/1/15,2015,5,52151,35959,1.450290609,15,9,1166122.6,321052000,275.3158201,3.4,89.87995109
6/1/15,2015,6,46201,29033.5,1.591299706,15,9,1072720.2,300399000,280.0348124,3.41,87.68688158
7/1/15,2015,7,37221,25680.2,1.4494046,15,9,1160474.4,327987000,282.6318271,3.41,82.20232625
8/1/15,2015,8,34857,21606,1.613301861,15,9,939756.3,260515000,277.2154866,3.41,79.94961164
9/1/15,2015,9,31530,22649.4,1.392089857,15,9,661883.9,179020000,270.4703952,3.44,83.20013452
10/1/15,2015,10,30565,20031.7,1.525831557,15,9,542715.2,143858000,265.070888,3.47,88.0201083
11/1/15,2015,11,34066,20174.1,1.688600731,15,9,446437.2,115828000,259.4497054,3.5,80.52290471
12/1/15,2015,12,30233,18502.9,1.633960082,15,9,404670.2,99359000,245.5308051,3.56,80.98982101
1/1/16,2016,1,25024,17389,1.439070677,15,9,380382.2,93589000,246.0393783,3.56,79.3749745
2/1/16,2016,2,25509,18374.1,1.388312897,15,9,442544.2,110082000,248.7480347,3.56,78.83776299
3/1/16,2016,3,25735,18618.9,1.382197659,15,9,322166.3,89944000,279.1850048,3.54,76.66905329
4/1/16,2016,4,24966,21626.1,1.154438387,15,9,300721,83533000,277.7757456,3.47,77.14410522
5/1/16,2016,5,33114,29183.4,1.134686157,15,9,461955.5,111026000,240.3391669,3.46,72.70320537
6/1/16,2016,6,30176,30698.3,0.982986029,15,9,565557.6,136981000,242.2052148,3.42,73.90684559
7/1/16,2016,7,33007,28875.3,1.143087691,15,9,605851.4,163483000,269.8400961,3.4,76.01543778
8/1/16,2016,8,33885,29709.7,1.140536592,15,9,492825.2,130381000,264.5583059,3.39,81.81047883
9/1/16,2016,9,28792,24107.4,1.194322075,15,9,315235.4,82376000,261.3158294,3.44,90.85479263
10/1/16,2016,10,37293,29272.8,1.273981307,15,9,275091.8,75466000,274.3302418,3.45,93.75854241
11/1/16,2016,11,40438,32715,1.236069081,15,9,216034.5,65383000,302.650734,3.47,94.50275198
12/1/16,2016,12,48646,34312.1,1.417750589,15,9,214488,63900000,297.9187647,3.54,96.20197055
1/1/17,2017,1,36472,28362.8,1.285909713,15,9,215331.2,57408000,266.6032605,3.54,98.55019651
2/1/17,2017,2,45874,30333.6,1.512316375,15,9,215542.7,63321000,293.774737,3.54,99.22637456
3/1/17,2017,3,49036,33451.9,1.465865915,15,9,222817,68605000,307.8984099,3.53,100.6262388
4/1/17,2017,4,48002,31970.9,1.501427861,15,9,223471.3,66429000,297.2596481,3.5,100.0443812
5/1/17,2017,5,49012,33572.1,1.459902717,15,9,204549.5,62291000,304.5277549,3.45,104.8306999
6/1/17,2017,6,48147,29769.8,1.61731016,15,9,178787.2,58277000,325.9573392,3.42,109.6562267
7/1/17,2017,7,47846,29181.8,1.639583576,15,9,136369.9,47952000,351.6318484,3.41,113.895557
8/1/17,2017,8,51371,33943.2,1.5134401,15,9,151142.6,52815000,349.4382127,3.41,116.8934883
9/1/17,2017,9,46420,28888.5,1.606867785,15,9,124914.3,45113000,361.1516055,3.46,118.3996848
10/1/17,2017,10,52658,35589.3,1.479602015,15,9,136217.5,46639000,342.3862573,3.48,115.3678462
11/1/17,2017,11,47807,33380.2,1.432196332,15,9,142040.9,48310000,340.1133054,3.5,111.3747396
12/1/17,2017,12,53947,38158,1.413779548,15,9,176839.2,58212000,329.180408,3.5,107.2698327
1/1/18,2018,1,38224,29618.5,1.290544761,15,9,123839.2,41081000,331.7285641,3.5,105.998144
2/1/18,2018,2,46886,35606.2,1.316793143,15,9,150503.2,54868000,364.5636771,3.48,108.757192
3/1/18,2018,3,56000,39643.3,1.412596832,15,9,146847.9,52817000,359.6714696,3.47,111.2931874
4/1/18,2018,4,60697,43595.4,1.392279919,15,9,158220.8,56570000,357.5383262,3.45,109.9883126
5/1/18,2018,5,55949,38405.2,1.456807932,15,9,153654,52070000,338.8782589,3.42,111.4192791
6/1/18,2018,6,46304,34493.8,1.342386168,40,34,150777.9,51620000,342.3578654,3.39,112.2805641
7/1/18,2018,7,34660,24955.9,1.388849931,40,34,140068.4,51238000,365.8069914,3.37,110.1286617
8/1/18,2018,8,34335,26864.5,1.278080739,40,34,118107.2,42653000,361.138017,3.38,108.4579527
9/1/18,2018,9,28324,20399.5,1.388465404,40,34,101276.4,36600000,361.3872531,3.45,108.2918586
10/1/18,2018,10,31843,19022.9,1.673929842,40,34,91734.6,35571000,387.7599074,3.51,102.8037264
11/1/18,2018,11,31859,22322.3,1.427227481,40,34,95535.5,39220000,410.5280236,3.55,99.99313476
12/1/18,2018,12,32851,20962.6,1.567124307,40,34,100277.3,36973000,368.7075739,3.61,97.84823706
1/1/19,2019,1,30740,17651.5,1.741495057,45,34,50847,21733000,427.4195134,3.61,100.9469787
2/1/19,2019,2,28565,16901.3,1.690106678,45,34,79374.2,30093000,379.1282306,3.62,103.7642895
3/1/19,2019,3,38957,20362.4,1.913183122,45,34,109098.4,41498000,380.3722144,3.59,105.6475341
4/1/19,2019,4,34136,16017.1,2.131222256,45,34,111130,43325000,389.858724,3.55,106.1280062
5/1/19,2019,5,31260,13352.1,2.341204754,45,34,108267.9,44356000,409.6874512,3.53,106.592841
6/1/19,2019,6,30397,18586.7,1.635416723,45,34,100437.3,35651000,354.9577697,3.55,102.8910844
7/1/19,2019,7,29285,16473.7,1.777682002,45,34,124791.3,43713000,350.2888423,3.59,101.0642112
8/1/19,2019,8,26209,12412.1,2.11156855,45,34,143358.3,49537000,345.5467873,3.65,100.2996521
9/1/19,2019,9,28059,15239.7,1.841177976,45,34,144676.2,50561000,349.47697,3.71,99.63812689
10/1/19,2019,10,26804,14284.6,1.876426361,45,34,176810.8,60525000,342.3150622,3.78,100.8202232
11/1/19,2019,11,37413,20413.5,1.832757734,45,34,145983,51254000,351.0956755,3.83,102.4534845
12/1/19,2019,12,30950,19521.7,1.585415205,45,34,105214.3,39964000,379.8343001,3.84,103.5429524
1/1/20,2020,1,33838,19382.2,1.745828647,40,34,91176.8,34889000,382.6521659,3.84,103.8447939
2/1/20,2020,2,30515,17286.3,1.765270764,40,34,125558.1,45667000,363.7120982,3.82,102.8515643
3/1/20,2020,3,32532,19137.2,1.699935205,15,9,131445.4,52747000,401.2844877,3.76,101.524563
4/1/20,2020,4,38966,23828.9,1.635241241,15,9,155414.5,62638000,403.0383265,3.61,95.75367239
5/1/20,2020,5,54491,31215,1.745667147,15,9,162023.6,64002000,395.0165285,3.56,94.42547441
6/1/20,2020,6,52147,33591.9,1.552368279,15,9,145263.8,57402000,395.1569489,3.58,98.33259153
7/1/20,2020,7,46619,29601.8,1.574870447,15,9,159657.6,60612000,379.6374241,3.61,101.7873638
8/1/20,2020,8,54665,34329.9,1.5923437,15,9,197141.6,75133000,381.1118506,3.71,102.1004454
9/1/20,2020,9,45466,29613.5,1.535313286,15,9,153246.5,56208000,366.7816231,3.84,102.3182397
10/1/20,2020,10,55080,37842.4,1.455510221,15,9,171622.4,62759000,365.6807037,3.95,104.4799346
11/1/20,2020,11,45697,30555.5,1.495540901,15,9,147383.1,56338000,382.2554961,4.02,105.3818861
12/1/20,2020,12,48508,35500.8,1.366391743,15,9,179167.3,65460000,365.356848,4.23,109.1856849
1/1/21,2021,1,40378,30150.1,1.339232706,15,9,127680.7,47275000,370.2595615,4.23,111.1176414
2/1/21,2021,2,47736,36084.2,1.32290587,15,9,153317.6,60560000,394.9970519,4.28,112.8722963
3/1/21,2021,3,62315,42686.9,1.459815541,15,9,197397.8,77945000,394.8625567,4.29,117.2691525
4/1/21,2021,4,61588,41616.6,1.479890236,15,9,168238.7,74151000,440.7487695,4.26,118.9967156
5/1/21,2021,5,71540,43698.4,1.637130879,15,9,192809.7,82024000,425.4142815,4.23,121.1805115
6/1/21,2021,6,68811,42745.7,1.609775954,15,9,206895,90510000,437.468281,4.27,120.0881559
7/1/21,2021,7,70701,40290.3,1.754789614,15,9,219520.5,94101000,428.6661155,4.31,117.2187714
8/1/21,2021,8,67472,39714.1,1.698943196,15,9,297225.8,120115000,404.1203691,4.37,117.1373944
9/1/21,2021,9,66488,37169.9,1.788759184,15,9,246424.5,114209000,463.4644688,4.34,119.1840494
10/1/21,2021,10,51464,30982.8,1.661050647,15,9,259755.4,112154000,431.7677323,4.31,122.6777739
11/1/21,2021,11,49001,29845.5,1.64182205,15,9,220023.9,97691000,444.0017653,4.3,127.3109945
12/1/21,2021,12,43232,23629,1.82961615,15,9,209634.7,95502000,455.5638928,4.3,130.4386484
1/1/22,2022,1,46068,27232.3,1.691667615,15,9,205404.9,87884000,427.8573685,4.26,134.410911
2/1/22,2022,2,57166,34763.4,1.644430637,15,9,165697.7,84521000,510.0915704,4.26,145.0412282
3/1/22,2022,3,56239,39341.3,1.429515547,15,9,148991,90687000,608.6743495,4.2,149.6932675
4/1/22,2022,4,65197,40196.3,1.621965206,15,9,143007.9,85597000,598.547353,4.18,150.8911268
5/1/22,2022,5,70991,43164.5,1.644661701,15,9,160692.6,98889000,615.3923703,4.16,149.8064183
6/1/22,2022,6,76235,44506,1.712915113,15,9,142615.9,88881000,623.2194307,4.13,158.1643719
7/1/22,2022,7,76166,43820.4,1.738140227,10,7,237970.1,130259000,547.3754896,4.12,155.5116011
8/1/22,2022,8,79890,49992.5,1.598039706,10,7,291781.7,158059000,541.7029238,4.12,153.0328471
9/1/22,2022,9,68705,45474.2,1.510856706,10,7,221696.1,144291000,650.8504209,4.13,152.7720518
10/1/22,2022,10,65136,37566.6,1.733880628,10,7,197260.9,133114000,674.8118862,4.14,149.1986245
11/1/22,2022,11,74352,43102.6,1.725000348,10,7,191662.9,125036000,652.3745597,4.14,147.2671872
12/1/22,2022,12,66674,42418.2,1.571825301,10,7,172150.7,125821000,730.8770746,4.14,148.5482631
1/1/23,2023,1,52336,32111.4,1.629826168,15,7,139059.6,97868000,703.7845643,4.11,144.6674926
2/1/23,2023,2,58702,36703.3,1.599365725,15,7,132298.8,102170000,772.2670198,4.05,138.5864677
3/1/23,2023,3,75825,42249.8,1.794683052,15,7,135512,105224000,776.4921188,3.99,135.2564886
4/1/23,2023,4,54710,35063.8,1.560298656,15,7,86348.7,72266000,836.9089517,3.93,129.2136212
5/1/23,2023,5,52116,36841.6,1.414596543,15,7,99738.9,77144000,773.4595028,3.88,121.7169799
6/1/23,2023,6,47955,32757,1.463961901,15,15,89039.9,66624000,748.2488188,3.82,119.9375656
7/1/23,2023,7,37656,28019,1.34394518,15,15,85107.9,69932000,821.6863534,3.76,119.1039395
8/1/23,2023,8,41878,34896,1.200080238,25,34,121929.7,74655000,612.2790428,3.76,114.3285723
9/1/23,2023,9,54493,40947.7,1.330795136,25,34,152206,82480000,541.8971657,3.73,111.9752128
10/1/23,2023,10,45072,34733.4,1.297655859,25,34,161798,81478000,503.5785362,3.73,114.6573445
11/1/23,2023,11,49188,38480.8,1.278247853,25,34,172827,84036000,486.2434689,3.71,116.5387829
12/1/23,2023,12,37318,30138.3,1.238225116,25,34,171846.6,91491000,532.3992444,3.71,118.7658374
1/1/24,2024,1,40308,28131.1,1.432862561,25,34,153766.1,75184000,488.9504254,3.65,118.687746
2/1/24,2024,2,46245,28611.3,1.616319426,25,34,119803.5,63588000,530.7691345,3.63,120.6964887
3/1/24,2024,3,47247,30853.2,1.53134845,34,34,152299.4,81258000,533.5411696,3.55,124.039206
4/1/24,2024,4,43334,31023.1,1.396830104,34,34,158879.6,99787000,628.0667877,3.47,123.7659738
5/1/24,2024,5,47293,34399.2,1.374828484,34,34,153297.6,78020000,508.9446932,3.39,126.2774491
6/1/24,2024,6,44560,32349.3,1.377464118,34,34,133316.2,76982000,577.4392009,3.3,127.8582602
7/1/24,2024,7,47460,31687.6,1.497746753,34,34,170221,101799000,598.0401948,3.24,127.8691476
8/1/24,2024,8,53700,30562.2,1.757072462,34,34,124899.1,76502000,612.5104184,3.21,131.2958465
9/1/24,2024,9,54548,35124,1.553012185,34,34,111559.3,71353000,639.5970573,3.15,136.5191509
10/1/24,2024,10,57170,34433.4,1.660306563,34,34,114070,63787000,559.1917244,3.13,139.005185
11/1/24,2024,11,48832,31674.1,1.541701264,34,34,125862.1,65237000,518.3212421,3.12,139.9886463
12/1/24,2024,12,52906,36760.8,1.4391961,34,34,131218.7,69037000,526.121658,3.11,141.9091862
1/1/25,2025,1,55546,35546.6,1.562624836,34,34,131749.3,63980000,485.6192784,3.12,143.0598507
2/1/25,2025,2,47829,32446,1.47411083,34,34,108604,68622000,631.8551803,3.11,147.6870108
3/1/25,2025,3,59532,36968.8,1.610330874,44,44,120655.8,68599000,568.551201,3.08,148.7367805
4/1/25,2025,4,36520,22766.1,1.604139488,84,84,75524.4,67857000,898.4778429,3.07,151.7225811
5/1/25,2025,5,14868,11164.9,1.331673369,125,125,34599.2,31134000,899.8473953,3.07,153.6210066
6/1/25,2025,6,59281,42909.6,1.381532338,10,10,104458.1,84161000,805.6914686,3.04,155.5017973
