date,year,month_num,month,HS_dairy_qty(MT),HS_dairy_value(Kusd),HS_dairy_price(usd/kg),,,,alfalfa_qty,alfalfa_price_usd_ton,,,,
3/1/08,2008,3,March,8680.2,14668,1.689823,,,,1667,218.35632873425314,,,,
4/1/08,2008,4,April,6948.6,13490,1.941398,,,,1515,229.7029702970297,,,,
5/1/08,2008,5,May,23323.4,11818,0.506701,,,,1651,214.41550575408843,,,,
6/1/08,2008,6,June,5936.5,7128,1.200707,,,,2896,234.11602209944752,,,,
7/1/08,2008,7,July,8516.3,13282,1.559597,,,,469,240.93816631130065,,,,
8/1/08,2008,8,August,8076.4,11026,1.365212,,,,1381,204.92396813902968,,,,
9/1/08,2008,9,September,32198.7,8299,0.257743,,,,1424,183.98876404494382,,,,
10/1/08,2008,10,October,32342.7,6652,0.205672,,,,1059,180.35882908404156,,,,
11/1/08,2008,11,November,8543.8,8554,1.001194,,,,1266,237.75671406003158,,,,
12/1/08,2008,12,December,9100.8,6568,0.721695,,,,3738,277.68860353130015,,,,
1/1/09,2009,1,January,4182,3404,0.813965,,,,1437,267.22338204592904,,,,
2/1/09,2009,2,February,7286,4766,0.654131,,,,4131,301.13773904623577,,,,
3/1/09,2009,3,March,11507.2,7280,0.632647,,,,2788,211.62123385939742,,,,
4/1/09,2009,4,April,7386.2,6795,0.919959,,,,5032,263.1160572337043,,,,
5/1/09,2009,5,May,15290.2,9503,0.621509,,,,4340,280.87557603686633,,,,
6/1/09,2009,6,June,9070.9,6740,0.743035,,,,10088,238.6994448850119,,,,
7/1/09,2009,7,July,6214.4,6297,1.013292,,,,3361,219.27997619756025,,,,
8/1/09,2009,8,August,7531.2,7259,0.963857,,,,11617,236.29164155978307,,,,
9/1/09,2009,9,September,7717.9,8858,1.147722,,,,7415,248.81995954146998,,,,
10/1/09,2009,10,October,83001.5,10722,0.129178,,,,7116,243.1141090500281,,,,
11/1/09,2009,11,November,9808.4,9112,0.929,,,,9045,242.89662797125484,,,,
12/1/09,2009,12,December,82457.8,11235,0.136252,,,,8615,224.37608821822403,,,,
1/1/10,2010,1,January,83224,10033,0.120554,,,,6897,220.96563723357983,,,,
2/1/10,2010,2,February,92672,13407,0.144672,,,,13160,223.10030395136778,,,,
3/1/10,2010,3,March,11990,14311,1.193578,,,,22210,214.0477262494372,,,,
4/1/10,2010,4,April,15003.3,17914,1.194004,,,,16414,210.9784330449616,,,,
5/1/10,2010,5,May,14591.6,18599,1.274637,,,,6439,262.77372262773724,,,,
6/1/10,2010,6,June,14027.5,10680,0.761362,,,,6968,248.42135476463835,,,,
7/1/10,2010,7,July,11085.6,10159,0.916414,,,,8266,247.15702879264458,,,,
8/1/10,2010,8,August,14641,9476,0.647224,,,,11946,222.66867570734973,,,,
9/1/10,2010,9,September,14607.2,14915,1.021072,,,,16736,238.46797323135755,,,,
10/1/10,2010,10,October,20445.2,13692,0.669693,,,,12536,236.11997447351627,,,,
11/1/10,2010,11,November,21470.9,12584,0.586096,,,,8580,248.71794871794873,,,,
12/1/10,2010,12,December,41410.6,23541,0.568478,,,,10459,255.5693660961851,,,,
1/1/11,2011,1,January,12096.4,14994,1.239542,,,,6738,239.98219056099734,,,,
2/1/11,2011,2,February,9781.8,12430,1.270727,,,,12593,248.39196378940682,,,,
3/1/11,2011,3,March,40529.2,15174,0.374397,,,,11288,276.93125442948264,,,,
4/1/11,2011,4,April,32544,17433,0.535675,,,,11216,283.16690442225394,,,,
5/1/11,2011,5,May,15460,22557,1.459056,,,,7017,263.9304546102323,,,,
6/1/11,2011,6,June,37709.2,18403,0.488024,,,,4038,259.0391282813274,,,,
7/1/11,2011,7,July,57723.3,23243,0.402662,,,,5403,275.21747177493984,,,,
8/1/11,2011,8,August,133083.6,24209,0.181908,,,,15630,271.5291106845809,,,,
9/1/11,2011,9,September,14466,27955,1.932462,,,,20628,283.74054682955204,,,,
10/1/11,2011,10,October,63585,28764,0.452371,,,,25030,301.19856172592887,,,,
11/1/11,2011,11,November,108257,37947,0.350527,,,,26097,266.42909146645206,,,,
12/1/11,2011,12,December,80017.9,22816,0.285136,,,,31745,276.5789888171366,,,,
1/1/12,2012,1,January,190667.8,22213,0.116501,,,,29216,231.5854326396495,,,,
2/1/12,2012,2,February,12026.8,19041,1.583214,,,,38883,211.99495923668442,,,,
3/1/12,2012,3,March,224772.1,23009,0.102366,,,,28784,342.27348526959423,,,,
4/1/12,2012,4,April,41569.4,26126,0.628491,,,,26158,320.28442541478705,,,,
5/1/12,2012,5,May,264012.8,30234,0.114517,,,,22717,267.59695382312805,,,,
6/1/12,2012,6,June,101836,25622,0.251601,,,,28399,274.8688334096271,,,,
7/1/12,2012,7,July,157518.8,19492,0.123744,,,,25271,264.13675754817774,,,,
8/1/12,2012,8,August,136925.4,22511,0.164403,,,,30653,280.2335823573549,,,,
9/1/12,2012,9,September,113417.3,23027,0.203029,,,,34496,280.5832560296846,,,,
10/1/12,2012,10,October,93926,20705,0.220439,,,,28068,278.4309533988884,,,,
11/1/12,2012,11,November,103907.9,19122,0.184028,,,,25805,310.5599689982561,,,,
12/1/12,2012,12,December,150049.4,20323,0.135442,,,,39941,328.9351793895997,,,,
1/1/13,2013,1,January,86567.6,20799,0.240263,,,,28916,335.4544196984369,,,,
2/1/13,2013,2,February,145146.3,16395,0.112955,,,,46185,311.0100682039623,,,,
3/1/13,2013,3,March,185547.5,19169,0.10331,,,,49175,320.9964412811388,,,,
4/1/13,2013,4,April,211349.2,34582,0.163625,,,,49294,316.3265306122449,,,,
5/1/13,2013,5,May,157069.4,45622,0.290458,,,,42642,308.45176117442895,,,,
6/1/13,2013,6,June,119838.3,57366,0.478695,,,,33518,290.4707918,,,,
7/1/13,2013,7,July,140281.6,54487,0.388412,,,,43098,287.6699614831315,,,,
8/1/13,2013,8,August,236163,68617,0.290549,,,,67204,304.49080411880243,,,,
9/1/13,2013,9,September,230293.2,60514,0.262769,,,,56485,284.8543861202089,,,,
10/1/13,2013,10,October,55131.3,56367,1.022414,,,,59212,292.47449841248397,,,,
11/1/13,2013,11,November,699855.3,52097,0.07444,,,,55160,307.46918056562725,,,,
12/1/13,2013,12,December,392331.5,54688,0.139392,,,,46994,300.9958718,,,,
1/1/14,2014,1,January,260452.3,36091,0.13857,,,,30468,295.9170277011947,,,,
2/1/14,2014,2,February,313128.1,43303,0.138292,,,,48945,319.35846358157113,,,,
3/1/14,2014,3,March,199511.4,71055,0.356145,,,,74499,298.76911099477843,,,,
4/1/14,2014,4,April,921373.8,46209,0.050152,,,,62917,309.72551138801913,,,,
5/1/14,2014,5,May,292724.1,56312,0.192372,,,,49631,308.6981926618444,,,,
6/1/14,2014,6,June,455014,48782,0.10721,,,,52429,296.7250948902325,,,,
7/1/14,2014,7,July,381105.9,49130,0.128914,,,,68580,322.36803732866724,,,,
8/1/14,2014,8,August,613975.8,50441,0.082155,,,,61532,340.01820191120066,,,,
9/1/14,2014,9,September,322528,32552,0.100928,,,,57272,351.34096940913537,,,,
10/1/14,2014,10,October,547188.2,31686,0.057907,,,,52855,350.8277362595781,,,,
11/1/14,2014,11,November,201312.1,25794,0.128129,,,,49446,341.78699995955185,,,,
12/1/14,2014,12,December,257830.7,23097,0.089582,,,,51863,329.5605730482232,,,,
1/1/15,2015,1,January,64045.1,17194,0.268467,,,,45935,333.5582889,,,,
2/1/15,2015,2,February,318475.7,20972,0.065851,,,,48021,306.6158555631911,,,,
3/1/15,2015,3,March,108835.5,28275,0.259796,,,,79176,326.7404263918359,,,,
4/1/15,2015,4,April,75390.2,32844,0.435653,,,,95395,351.88427066408093,,,,
5/1/15,2015,5,May,95689.5,37601,0.392948,,,,94286,354.5171075239166,,,,
6/1/15,2015,6,June,221317.5,28111,0.127017,,,,78153,365.30907322815506,,,,
7/1/15,2015,7,July,18527.9,23174,1.250762,,,,87506,355.63275661097526,,,,
8/1/15,2015,8,August,205941.6,23638,0.11478,,,,81279,334.5144502269959,,,,
9/1/15,2015,9,September,23228.9,18076,0.778169,,,,60241,327.1360037183978,,,,
10/1/15,2015,10,October,49050.1,20926,0.426625,,,,70170,326.39304546102323,,,,
11/1/15,2015,11,November,12723.6,22131,1.739366,,,,70003,325.82889304744083,,,,
12/1/15,2015,12,December,264439.7,19256,0.072818,,,,70677,318.36382415778826,,,,
1/1/16,2016,1,January,64699.2,15134,0.233913,,,,46039,305.69734355654987,,,,
2/1/16,2016,2,February,13217.5,18408,1.392699,,,,76939,319.6948231716035,,,,
3/1/16,2016,3,March,12775,15964,1.249628,,,,74040,325.4186925985953,,,,
4/1/16,2016,4,April,15256.2,17016,1.11535,,,,81687,310.3431391,,,,
5/1/16,2016,5,May,21716.2,22111,1.01818,,,,89011,304.62527103391716,,,,
6/1/16,2016,6,June,24493.2,22035,0.899637,,,,101763,300.8657370557079,,,,
7/1/16,2016,7,July,37092,25043,0.675159,,,,120799,305.04391592645635,,,,
8/1/16,2016,8,August,90283.5,23727,0.262805,,,,123796,306.6415716178229,,,,
9/1/16,2016,9,September,56664.2,19652,0.346815,,,,91587,302.5866116370227,,,,
10/1/16,2016,10,October,148208.3,24354,0.164323,,,,86009,311.99060563429407,,,,
11/1/16,2016,11,November,32382.5,26470,0.817417,,,,105299,296.5270325454183,,,,
12/1/16,2016,12,December,26525.8,33150,1.249727,,,,95486,300.56762247868795,,,,
1/1/17,2017,1,January,31832.6,26729,0.839674,,,,74385,286.32116690192913,,,,
2/1/17,2017,2,February,57219.2,34557,0.603941,,,,108862,280.22634160680497,,,,
3/1/17,2017,3,March,26829.2,37964,1.415025,,,,123415,280.2252562492404,,,,
4/1/17,2017,4,April,24937.1,34347,1.377345,,,,122826,283.5637405760995,,,,
5/1/17,2017,5,May,64893.2,37828,0.582927,,,,117292,279.2773590696723,,,,
6/1/17,2017,6,June,32329,34282,1.06041,,,,109574,285.8524832533265,,,,
7/1/17,2017,7,July,43013.1,32809,0.762768,,,,83067,287.20189726365464,,,1114038,296.2871553
8/1/17,2017,8,August,25584.1,35643,1.39317,,,,94674,281.8619684390646,,,727552,330.1474184
9/1/17,2017,9,September,22485.3,31706,1.410077,,,,77856,298.5640156185779,,,,
10/1/17,2017,10,October,26428.3,35084,1.327516,,,,77068,291.40499299320084,,,,
11/1/17,2017,11,November,27498.8,32143,1.168887,,,,81796,279.17013056873196,,,,
12/1/17,2017,12,December,30764.9,33533,1.089976,,506076.4,1.048930077,99911,285.6942678984296,,,,
1/1/18,2018,1,January,30894.2,22965,0.743343,,231597.6,1.067872538,70793,290.26881188818106,,,,
2/1/18,2018,2,February,26545,30623,1.153626,,,,88250,303.6940509915014,,,,
3/1/18,2018,3,March,33344.1,40819,1.224175,,,,91365,310.57844907787444,,,,
4/1/18,2018,4,April,141720.7,42732,0.301523,,,,93190,296.2871553,,,,
5/1/18,2018,5,May,28421.2,38802,1.365248,,,,88667,301.7582640666764,,,,
6/1/18,2018,6,June,25871,31800,1.229176,,,,88626,312.5380813756685,,,,
7/1/18,2018,7,July,43505.7,20300,0.466606,,,,78775,309.5017454776262,,,,
8/1/18,2018,8,August,20503.5,19592,0.955544,,,,71530,301.8034391164546,,,,
9/1/18,2018,9,September,11533.8,13119,1.13744,,,,50326,304.55430592536663,,,,
10/1/18,2018,10,October,13127.1,15897,1.211006,,,,37500,318.4,,,,
11/1/18,2018,11,November,40040.5,16884,0.421673,,,,45878,326.88870482584247,,,,
12/1/18,2018,12,December,19617.8,18724,0.954439,,,,63663,317.73557639445204,,,,
1/1/19,2019,1,January,17072.5,13493,0.790335,,,,24233,322.5353856311641,,,,
2/1/19,2019,2,February,17321.5,13654,0.788269,,,,45864,329.1906506,,,,
3/1/19,2019,3,March,11281,16627,1.473894,,,,57974,323.1966053748232,,,,
4/1/19,2019,4,April,7371.7,14383,1.95111,,,,59708,319.8901319756147,,,,
5/1/19,2019,5,May,7919.4,14061,1.775513,,,,64066,339.8682608559923,,,,
6/1/19,2019,6,June,13297.6,16953,1.274892,,,,55135,333.4542486623742,,,,
7/1/19,2019,7,July,17273.1,14289,0.82724,,,,69132,333.79621593473354,,,,
8/1/19,2019,8,August,35238.1,11311,0.320988,,,,82543,342.8516046,,,,
9/1/19,2019,9,September,9462.9,15092,1.59486,,,,98105,341.7868610162581,,,,
10/1/19,2019,10,October,82097.3,13253,0.16143,,,,120773,336.7391718347644,,,,
11/1/19,2019,11,November,146025,24105,0.165074,,,,91814,342.7146186856035,,,,
12/1/19,2019,12,December,114437.9,19455,0.170005,,,,71547,350.6086907906691,,,,
1/1/20,2020,1,January,47132.2,16515,0.350397,,,,51387,353.8248973475782,,,,
2/1/20,2020,2,February,10407.8,15514,1.490613,,,,80911,349.4827650134098,,,,
3/1/20,2020,3,March,33976.6,13859,0.407898,,,,98601,350.69624040324135,,,,
4/1/20,2020,4,April,16142.3,21609,1.338657,,,,115431,345.037295,,,,
5/1/20,2020,5,May,105457.8,33449,0.317179,,,,116270,346.0909950976176,,,,
6/1/20,2020,6,June,24858.3,35293,1.419767,,,,95788,341.2431619827118,,,,
7/1/20,2020,7,July,19811.6,26998,1.362737,,,,102276,339.06292776408935,,,,
8/1/20,2020,8,August,28214,36378,1.28936,,,,112334,341.15227802802355,,,,
9/1/20,2020,9,September,22673.6,28402,1.252646,,,,88998,340.74923031978244,,,,
10/1/20,2020,10,October,69960,37016,0.529102,,,,108289,330.01505231371607,,,,
11/1/20,2020,11,November,135214.3,28455,0.210444,,,,85156,345.1900042275353,,,,
12/1/20,2020,12,December,169249.6,31474,0.185962,,,,108495,345.8776902,,,,
1/1/21,2021,1,January,38738.5,27598,0.712418,,,,69076,342.9845387688922,,,,
2/1/21,2021,2,February,54245,33146,0.611042,,,,97675,342.3393908369593,,,,
3/1/21,2021,3,March,65087.9,43478,0.667989,,,,137930,343.6815776118321,,,,
4/1/21,2021,4,April,71409.8,42947,0.601416,,,,109091,355.44637046135796,,,,
5/1/21,2021,5,May,130231,51651,0.396611,,,,127829,347.8084002847554,,,,
6/1/21,2021,6,June,220794.8,49658,0.224906,,,,135942,359.28557767283104,,,,
7/1/21,2021,7,July,59953.7,52865,0.881764,,,,130478,370.8211345974034,,,,
8/1/21,2021,8,August,81010.8,48241,0.595489,,,,190824,364.5820232255901,,,,
9/1/21,2021,9,September,97222,47993,0.493643,,,,151631,376.2555150332056,,,,
10/1/21,2021,10,October,60006,32861,0.547629,,,,161544,399.0306046649829,,,,
11/1/21,2021,11,November,50442,30551,0.605666,,,,130680,405.2265074992348,,,,
12/1/21,2021,12,December,35420.5,27291,0.770486,,,,115411,403.33243798251465,,,,
1/1/22,2022,1,January,19594.7,27832,1.420384,,,,115496,399.9186118999792,,,,
2/1/22,2022,2,February,35264.9,35845,1.01645,,,,122037,419.3482304546982,,,,
3/1/22,2022,3,March,29795.5,38568,1.294424,,,,119424,429.8633441,,,,
4/1/22,2022,4,April,27650.9,41534,1.502085,,,,113244,432.49090459538695,,,,
5/1/22,2022,5,May,30286.1,45998,1.518783,,,,122338,413.7226372835914,,,,
6/1/22,2022,6,June,52560.5,50940,0.969169,,,,101097,413.7016924,,,,
7/1/22,2022,7,July,32302.6,53879,1.667946,,,,181631,339.5070224796428,,,,
8/1/22,2022,8,August,39569.6,53067,1.341105,,,,237589,313.1331837753431,,,,
9/1/22,2022,9,September,33915.9,48504,1.430126,,,,168153,506.91334677347413,,,,
10/1/22,2022,10,October,63415.1,41548,0.655175,,,,148706,515.8904146436593,,,,
11/1/22,2022,11,November,33229.4,53882,1.621516,,,,131167,511.17277973880624,,,,
12/1/22,2022,12,December,30430.3,41289,1.356838,,,,99883,522.2009751409149,,,,
1/1/23,2023,1,January,29171.7,31910,1.093868,,,,77564,527.8737558661235,,,,
2/1/23,2023,2,February,22401.1,32305,1.442117,,,,85645,526.8258509,,,,
3/1/23,2023,3,March,45445.3,35967,0.791435,,,,72712,513.3678072395203,,,,
4/1/23,2023,4,April,48929.4,33512,0.684905,,,,47499,482.0943598812607,,,,
5/1/23,2023,5,May,80323.4,26983,0.33593,,,,50185,467.7692538,,,,
6/1/23,2023,6,June,49609.6,27088,0.546023,,,,61273,463.58102263639773,,,,
7/1/23,2023,7,July,16677.3,22215,1.33205,,,,44316,434.3126635977976,,,,
8/1/23,2023,8,August,21491.1,22820,1.061835,,,,64879,410.8879606652384,,,,
9/1/23,2023,9,September,22030.1,32414,1.471351,,,,84263,402.8339840736741,,,,
10/1/23,2023,10,October,21918.8,27182,1.240123,,,,86725,401.3836840588066,,,,
11/1/23,2023,11,November,38327.4,29891,0.779886,,,,100981,371.8917420108733,,,,
12/1/23,2023,12,December,18056.3,23482,1.300488,,,,110610,358.1502576620559,,,,
1/1/24,2024,1,January,15918.7,20099,1.262603,,,,98466,369.68090508398836,,,,
2/1/24,2024,2,February,22977.1,27463,1.195234,,,,84523,358.8017463,,,,
3/1/24,2024,3,March,26946.7,23919,0.887641,,,,109770,369.95536120980233,,,,
4/1/24,2024,4,April,20239.6,24865,1.228532,,,,93006,349.92366083908564,,,,
5/1/24,2024,5,May,25547.4,27433,1.073808,,,,79952,324.9199519711827,,,,
6/1/24,2024,6,June,19829.8,23431,1.181605,,,,55283,353.9786191053308,,,,
7/1/24,2024,7,July,20803.9,20924,1.005773,,,,81781,379.8437289835047,,,,
8/1/24,2024,8,August,24575,27137,1.104252,,,,55212,324.9655871911903,,,,
9/1/24,2024,9,September,26817,25897,0.965693,,,,59973,325.4631250729495,,,,
10/1/24,2024,10,October,65310.1,26494,0.405665,,,,62100,317.98711755233495,,,,
11/1/24,2024,11,November,18139.2,23448,1.29267,,,,78341,326.4446458431728,,,,
12/1/24,2024,12,December,23054.8,26615,1.154423,,,,79365,332.13633213633216,,,,
1/1/25,2025,1,January,33667.5,30195,0.896859,,,,75728,334.55260933868584,,,,
2/1/25,2025,2,February,31755,26127,0.822768,,,,73870,315.3512928116962,,,,
3/1/25,2025,3,March,22906.5,27863,1.21638,,,,82982,323.2869778988214,,,,
4/1/25,2025,4,April,21583,15777,0.730992,,,,50397,351.09232692422165,,,,
5/1/25,2025,5,May,26735.7,7194,0.269078,,,,24190,362.87722199255893,,,,
6/1/25,2025,6,June,25628,24579,0.959068,,,,76585,354.54723509825686,,,,
7/1/25,2025,7,July,20858.7,19252,0.922972,,,,54592,361.3,,,,
8/1/25,2025,8,August,18224.4,22082,1.211672,,,,66519,352.8,,,,
9/1/25,2025,9,September,24710.7,19891,0.804955,,,,55625,386.1,,,,
10/1/25,2025,10,October,25042.8,24949,0.996254,,,,53801,392.3,,,,
11/1/25,2025,11,November,22252.7,21916,0.984869,,,,60766,388.5,,,,
12/1/25,2025,12,December,33754.7,22564,0.66847,,,,,,,,,
1/1/26,2026,1,January,21189.3,18117,0.855007,,,,,,,,,
